"#","Country","ISO","Name","SEZ Present","SEZ Name","SEZ VAT Treatment","SEZ CIT Rate","Local Licensing Fee","Land Ownership Rules"
"11","Nigeria","NG","Adamawa","No","No NEPZA free zone in Adamawa as of 2024. Source: NEPZA 2024","NA","N/A. Standard 30% CIT. Source: NEPZA 2024","State Business Premises Levy + LGA levy. Estimated NGN 30,000–150,000/yr. Lower demand economy, lower informal pressure. Source: Business Premises Registration Act; US State Dept 2024","State leasehold only; Land Use Act 1978"
"12","Nigeria","NG","Akwa Ibom","No","No NEPZA free zone in Akwa Ibom as of 2024. OGFZA covers neighbouring Rivers State. Source: NEPZA 2024","NA","N/A. Standard 30% CIT. Source: NEPZA 2024","State Business Premises Levy + LGA levy. Oil sector presence inflates regulatory environment. Estimated NGN 50,000–300,000/yr. Source: Business Premises Registration Act; US State Dept 2024","State leasehold only; Land Use Act 1978"
"13","Nigeria","NG","Anambra","No","No NEPZA/OGFZA free zone operational in Anambra as of 2024. Source: NEPZA 2024","NA","N/A. Standard 30% CIT. Source: NEPZA 2024","State Business Premises Levy + LGA levy. Active commercial state. Estimated NGN 50,000–250,000/yr. Source: Business Premises Registration Act","State leasehold only; Land Use Act 1978"
"14","Nigeria","NG","Bauchi","No","No NEPZA free zone in Bauchi as of 2024. Source: NEPZA 2024","NA","N/A. Standard 30% CIT. Source: NEPZA 2024","State Business Premises Levy + LGA levy. Smaller economy. Estimated NGN 20,000–100,000/yr. Source: Business Premises Registration Act","State leasehold only; Land Use Act 1978"
"15","Nigeria","NG","Bayelsa","No","No NEPZA free zone in Bayelsa as of 2024. OGFZA covers neighbouring Rivers State. Source: NEPZA 2024","NA","N/A. Standard 30% CIT. Source: NEPZA 2024","State Business Premises Levy + LGA levy. Oil delta; fees can be inflated by informal demands. Estimated NGN 50,000–250,000/yr. Source: Business Premises Registration Act; US State Dept 2024","State leasehold only; Land Use Act 1978"
"16","Nigeria","NG","Benue","No","No NEPZA free zone in Benue as of 2024. Source: NEPZA 2024","NA","N/A. Standard 30% CIT. Source: NEPZA 2024","State Business Premises Levy + LGA levy. Estimated NGN 20,000–100,000/yr. Source: Business Premises Registration Act","State leasehold only; Land Use Act 1978"
"17","Nigeria","NG","Borno","No","No NEPZA free zone in Borno as of 2024. Source: NEPZA 2024","NA","N/A. Source: NEPZA 2024","State Business Premises Levy + LGA levy. Conflict-affected north; enforcement irregular. Estimated NGN 20,000–80,000/yr where operating. Source: Business Premises Registration Act","State leasehold only; Land Use Act 1978"
"18","Nigeria","NG","Cross River","Yes","Calabar Free Trade Zone (NEPZA-regulated, est. 2001); Tinapa Free Trade Zone (Calabar). Source: NEPZA; AFZA 2024","VAT exempt on goods/services within zone and between free zones. Source: NEPZA Act 63/1992; Finance Act 2019","0% — complete tax holiday from all federal, state and local taxes, levies and rates. Source: NEPZA Act 63/1992 s.18; AFZA 2024","State Business Premises Levy + LGA levy. Calabar Free Trade Zone may affect framework. Estimated NGN 40,000–200,000/yr. Source: Business Premises Registration Act","State leasehold only; Land Use Act 1978"
"19","Nigeria","NG","Delta","No","No NEPZA free zone in Delta as of 2024. Oil/gas falls under OGFZA (Rivers State). Source: NEPZA 2024","NA","N/A. Standard 30% CIT. Source: NEPZA 2024","State Business Premises Levy + LGA levy. Oil state; Warri commercial hub. Estimated NGN 50,000–300,000/yr. Source: Business Premises Registration Act; US State Dept 2024","State leasehold only; Land Use Act 1978"
"20","Nigeria","NG","Ebonyi","No","No NEPZA free zone in Ebonyi as of 2024. Source: NEPZA 2024","NA","N/A. Standard 30% CIT. Source: NEPZA 2024","State Business Premises Levy + LGA levy. Smaller economy. Estimated NGN 20,000–100,000/yr. Source: Business Premises Registration Act","State leasehold only; Land Use Act 1978"
"21","Nigeria","NG","Edo","No","No NEPZA free zone operational in Edo as of 2024. Source: NEPZA 2024","NA","N/A. Standard 30% CIT. Source: NEPZA 2024","State Business Premises Levy + LGA levy. Benin City commercial. Estimated NGN 50,000–200,000/yr. Source: Business Premises Registration Act","State leasehold only; Land Use Act 1978"
"22","Nigeria","NG","Ekiti","No","No NEPZA free zone in Ekiti as of 2024. Source: NEPZA 2024","NA","N/A. Standard 30% CIT. Source: NEPZA 2024","State Business Premises Levy + LGA levy. Smaller economy. Estimated NGN 20,000–100,000/yr. Source: Business Premises Registration Act","State leasehold only; Land Use Act 1978"
"23","Nigeria","NG","Enugu","No","No NEPZA free zone in Enugu as of 2024. Source: NEPZA 2024","NA","N/A. Standard 30% CIT. Source: NEPZA 2024","State Business Premises Levy + LGA levy. Southeast commercial hub. Estimated NGN 50,000–200,000/yr. Source: Business Premises Registration Act","State leasehold only; Land Use Act 1978"
"24","Nigeria","NG","Federal Capital Territory","Yes","Abuja Technology Village Free Zone (FCT) — NEPZA-licensed; technology/ICT focus. Source: NEPZA 2024","VAT exempt within zone. Source: NEPZA Act 63/1992","0% tax holiday on all federal, state and local taxes. Source: NEPZA Act 63/1992","FCT-FCDA licensing framework. Abuja rates among highest in Nigeria; reflect capital city economy. Estimated NGN 100,000–500,000/yr for mid-size enterprise. Source: FCT-IRS; Business Premises Registration Act","FCT vested in federal government. FCDA/FCT Minister (not state Governor) grants right of occupancy. Source: FCT Act; Land Use Act 1978 s.55"
"25","Nigeria","NG","Gombe","No","No NEPZA free zone in Gombe as of 2024. Source: NEPZA 2024","NA","N/A. Standard 30% CIT. Source: NEPZA 2024","State Business Premises Levy + LGA levy. Smaller economy. Estimated NGN 20,000–80,000/yr. Source: Business Premises Registration Act","State leasehold only; Land Use Act 1978"
"26","Nigeria","NG","Imo","Yes","Imo-Guangdong Free Trade Zone (Ngor Okpala LGA) — NEPZA-licensed. Source: NEPZA; AFZA","VAT exempt within zone. Source: NEPZA Act 63/1992","0% — full tax holiday on all taxes, levies and rates. Source: NEPZA Act 63/1992","State Business Premises Levy + LGA levy. Owerri commercial. Estimated NGN 50,000–200,000/yr. Source: Business Premises Registration Act","State leasehold only; Land Use Act 1978"
"27","Nigeria","NG","Jigawa","Yes","Maigatari Border Free Zone (Jigawa State) — NEPZA-licensed. Source: NEPZA; AFZA","VAT exempt within zone. Source: NEPZA Act 63/1992","0% — full tax holiday. Source: NEPZA Act 63/1992; AFZA","State Business Premises Levy + LGA levy. Northern low-income economy. Estimated NGN 15,000–80,000/yr. Source: Business Premises Registration Act","State leasehold only; Land Use Act 1978"
"28","Nigeria","NG","Kaduna","No","No NEPZA free zone operational in Kaduna as of 2024. Source: NEPZA 2024","NA","N/A. Standard 30% CIT. Source: NEPZA 2024","State Business Premises Levy + LGA levy. Northern industrial base. Estimated NGN 40,000–200,000/yr. Source: Business Premises Registration Act","State leasehold only; Land Use Act 1978"
"29","Nigeria","NG","Kano","Yes","Kano Free Trade Zone (KFTZ) — NEPZA-licensed; behind Aminu Kano International Airport. Agricultural processing and manufacturing focus. Source: NEPZA; AFZA 2024","VAT exempt within zone. Source: NEPZA Act 63/1992; AFZA","0% — complete tax holiday from all federal, state and local taxes, levies and rates. Source: NEPZA Act 63/1992","State Business Premises Levy + LGA levy. Largest northern commercial city. Estimated NGN 50,000–300,000/yr. World Bank Doing Business 2020 benchmarked Kano separately. Source: Business Premises Registration Act; World Bank Doing Business Nigeria 2020","State leasehold only; Land Use Act 1978"
"30","Nigeria","NG","Katsina","No","No NEPZA free zone in Katsina as of 2024. Source: NEPZA 2024","NA","N/A. Standard 30% CIT. Source: NEPZA 2024","State Business Premises Levy + LGA levy. Estimated NGN 20,000–100,000/yr. Source: Business Premises Registration Act","State leasehold only; Land Use Act 1978"
"31","Nigeria","NG","Kebbi","No","No NEPZA free zone in Kebbi as of 2024. Source: NEPZA 2024","NA","N/A. Standard 30% CIT. Source: NEPZA 2024","State Business Premises Levy + LGA levy. Smaller economy. Estimated NGN 15,000–80,000/yr. Source: Business Premises Registration Act","State leasehold only; Land Use Act 1978"
"32","Nigeria","NG","Kogi","No","No NEPZA free zone in Kogi as of 2024. Source: NEPZA 2024","NA","N/A. Standard 30% CIT. Source: NEPZA 2024","State Business Premises Levy + LGA levy. Estimated NGN 20,000–100,000/yr. Source: Business Premises Registration Act","State leasehold only; Land Use Act 1978"
"33","Nigeria","NG","Kwara","No","No NEPZA free zone in Kwara as of 2024. Source: NEPZA 2024","NA","N/A. Standard 30% CIT. Source: NEPZA 2024","State Business Premises Levy + LGA levy. Estimated NGN 30,000–150,000/yr. Source: Business Premises Registration Act","State leasehold only; Land Use Act 1978"
"34","Nigeria","NG","Lagos","Yes","Lekki Free Zone; Dangote Industries Free Zone; Snake Island Integrated Free Zone (Apapa); Lagos Free Trade Zone; LADOL Free Zone — multiple NEPZA-licensed zones. Source: NEPZA 2024","VAT exempt on goods/services within and between free zones. Source: NEPZA Act 63/1992; Finance Act 2019","0% — complete tax holiday from all federal, state and local taxes, levies and rates. Source: NEPZA Act 63/1992 s.18","State Business Premises Levy + LGA levy. Highest in Nigeria; Lagos State IRS enforcement most active. Large commercial enterprise: NGN 200,000–1,000,000+/yr. Formal rate + development levy. Source: Lagos State Business Premises Levy Law; Lagos IRS 2024; World Bank Doing Business Nigeria 2020","State leasehold only (99-yr CoO); Land Use Act 1978"
"35","Nigeria","NG","Nasarawa","No","No NEPZA free zone in Nasarawa as of 2024. Source: NEPZA 2024","NA","N/A. Standard 30% CIT. Source: NEPZA 2024","State Business Premises Levy + LGA levy. Estimated NGN 20,000–100,000/yr. Source: Business Premises Registration Act","State leasehold only; Land Use Act 1978"
"36","Nigeria","NG","Niger","No","No NEPZA free zone in Niger State as of 2024. Source: NEPZA 2024","NA","N/A. Standard 30% CIT. Source: NEPZA 2024","State Business Premises Levy + LGA levy. Estimated NGN 20,000–100,000/yr. Source: Business Premises Registration Act","State leasehold only; Land Use Act 1978"
"37","Nigeria","NG","Ogun","Yes","Ogun-Guangdong Free Trade Zone (Ogun State) — NEPZA; manufacturing/industrial (textiles, steel, ceramics). Source: NEPZA; AFZA 2024","VAT exempt within zone. Source: NEPZA Act 63/1992","0% — full tax holiday. Source: NEPZA Act 63/1992","State Business Premises Levy + LGA levy. Industrial corridor; Ogun-Guangdong FTZ present. Estimated NGN 50,000–250,000/yr. Source: Business Premises Registration Act","State leasehold only; Land Use Act 1978"
"38","Nigeria","NG","Ondo","No","No NEPZA free zone in Ondo as of 2024. Source: NEPZA 2024","NA","N/A. Standard 30% CIT. Source: NEPZA 2024","State Business Premises Levy + LGA levy. Estimated NGN 30,000–150,000/yr. Source: Business Premises Registration Act","State leasehold only; Land Use Act 1978"
"39","Nigeria","NG","Osun","No","No NEPZA free zone in Osun as of 2024. Source: NEPZA 2024","NA","N/A. Standard 30% CIT. Source: NEPZA 2024","State Business Premises Levy + LGA levy. Estimated NGN 30,000–150,000/yr. Source: Business Premises Registration Act","State leasehold only; Land Use Act 1978"
"40","Nigeria","NG","Oyo","Yes","Egbeda Free Trade Zone (Ibadan, Oyo State) — NEPZA-listed. Source: NEPZA; AFZA","VAT exempt within zone. Source: NEPZA Act 63/1992","0% — full tax holiday. Source: NEPZA Act 63/1992; AFZA","State Business Premises Levy + LGA levy. Ibadan second largest city. Estimated NGN 50,000–250,000/yr. Source: Business Premises Registration Act","State leasehold only; Land Use Act 1978"
"41","Nigeria","NG","Plateau","No","No NEPZA free zone in Plateau as of 2024. Source: NEPZA 2024","NA","N/A. Standard 30% CIT. Source: NEPZA 2024","State Business Premises Levy + LGA levy. Jos commercial. Estimated NGN 30,000–150,000/yr. Source: Business Premises Registration Act","State leasehold only; Land Use Act 1978"
"42","Nigeria","NG","Rivers","Yes","Onne Oil & Gas Free Zone (OGFZA); Port Harcourt Free Trade Zone (NEPZA). Major oil/gas hub. Source: OGFZA; NEPZA; AFZA 2024","VAT exempt within zone (both NEPZA and OGFZA zones). Source: NEPZA Act 63/1992; OGFZA Act 1996","0% — complete tax holiday on all federal, state and local taxes, levies and rates. Source: NEPZA Act 63/1992; OGFZA Act 1996","State Business Premises Levy + LGA levy. Port Harcourt oil city; fees elevated. Estimated NGN 100,000–500,000/yr. Source: Business Premises Registration Act; World Bank Doing Business Nigeria 2020","State leasehold only; Land Use Act 1978"
"43","Nigeria","NG","Sokoto","No","No NEPZA free zone in Sokoto as of 2024. Source: NEPZA 2024","NA","N/A. Standard 30% CIT. Source: NEPZA 2024","State Business Premises Levy + LGA levy. Northern economy. Estimated NGN 20,000–100,000/yr. Source: Business Premises Registration Act","State leasehold only; Land Use Act 1978"
"44","Nigeria","NG","Taraba","No","No NEPZA free zone in Taraba as of 2024. Source: NEPZA 2024","NA","N/A. Standard 30% CIT. Source: NEPZA 2024","State Business Premises Levy + LGA levy. Smaller economy. Estimated NGN 15,000–80,000/yr. Source: Business Premises Registration Act","State leasehold only; Land Use Act 1978"
"45","Nigeria","NG","Yobe","No","No NEPZA free zone in Yobe as of 2024. Source: NEPZA 2024","NA","N/A. Source: NEPZA 2024","State Business Premises Levy + LGA levy. Conflict-affected north. Estimated NGN 15,000–60,000/yr where operating. Source: Business Premises Registration Act","State leasehold only; Land Use Act 1978"
"46","Nigeria","NG","Zamfara","No","No NEPZA free zone in Zamfara as of 2024. Source: NEPZA 2024","NA","N/A. Source: NEPZA 2024","State Business Premises Levy + LGA levy. Insecurity-affected. Estimated NGN 15,000–60,000/yr. Source: Business Premises Registration Act","State leasehold only; Land Use Act 1978"
"47","Kenya","KE","Baringo","No","No gazetted EPZ or SEZ in Baringo as of 2024. Source: EPZA 2024; SEZ Act 2015","NA","N/A. Standard 30% CIT applies. Source: EPZA 2024","County Single Business Permit (SBP). Rural county; lower fees. Estimated KES 5,000–15,000/yr. Source: County Government of Kenya SBP framework; Viffa Consult benchmarking survey 2024","Freehold (citizens) / Leasehold max 99 yrs (foreigners)"
"48","Kenya","KE","Bomet","No","No gazetted EPZ or SEZ in Bomet as of 2024. Source: EPZA 2024","NA","N/A. Standard 30% CIT applies. Source: EPZA 2024","County SBP. Rural county. Estimated KES 5,000–15,000/yr. Source: County SBP framework; Viffa Consult 2024","Freehold (citizens) / Leasehold max 99 yrs (foreigners)"
"49","Kenya","KE","Bungoma","No","No gazetted EPZ or SEZ in Bungoma as of 2024. Source: EPZA 2024","NA","N/A. Standard 30% CIT applies. Source: EPZA 2024","County SBP. Among cheapest in Kenya. Average KES 18,000/yr per Viffa Consult 2024 benchmarking. Source: Viffa Consult benchmarking survey, Business Daily Africa Feb 2024","Freehold (citizens) / Leasehold max 99 yrs (foreigners)"
"50","Kenya","KE","Busia","Yes","Busia EPZ (Bukhayo/Nasewa) — gazetted April 2023. Source: Capital FM April 2023; EPZA","VAT/duty exemption on inputs. Source: EPZ Act CAP 517","10-yr CIT holiday; 25% thereafter. Source: EPZ Act CAP 517; EPZA brochure","County SBP. Border county; moderate fees. Estimated KES 8,000–20,000/yr. Source: County SBP framework","Freehold (citizens) / Leasehold max 99 yrs (foreigners)"
"51","Kenya","KE","Elgeyo-Marakwet","No","No gazetted EPZ or SEZ in Elgeyo-Marakwet as of 2024. Source: EPZA 2024","NA","N/A. Standard 30% CIT applies. Source: EPZA 2024","County SBP. Rural/small economy. Estimated KES 5,000–15,000/yr. Source: County SBP framework","Freehold (citizens) / Leasehold max 99 yrs (foreigners)"
"52","Kenya","KE","Embu","No","No gazetted EPZ or SEZ in Embu as of 2024. Source: EPZA 2024","NA","N/A. Standard 30% CIT applies. Source: EPZA 2024","County SBP. Estimated KES 8,000–25,000/yr. Source: County SBP framework","Freehold (citizens) / Leasehold max 99 yrs (foreigners)"
"53","Kenya","KE","Garissa","No","No gazetted EPZ or SEZ in Garissa as of 2024. Source: EPZA 2024","NA","N/A. Standard 30% CIT applies. Source: EPZA 2024","County SBP. Pastoral/border county; lower commercial activity. Estimated KES 5,000–15,000/yr. Source: County SBP framework","Freehold (citizens) / Leasehold max 99 yrs (foreigners)"
"54","Kenya","KE","Homa Bay","No","No gazetted EPZ or SEZ in Homa Bay as of 2024. Source: EPZA 2024","NA","N/A. Standard 30% CIT applies. Source: EPZA 2024","County SBP. Rural county. Estimated KES 5,000–18,000/yr. Source: County SBP framework","Freehold (citizens) / Leasehold max 99 yrs (foreigners)"
"55","Kenya","KE","Isiolo","No","No gazetted EPZ or SEZ in Isiolo as of 2024. Source: EPZA 2024","NA","N/A. Standard 30% CIT applies. Source: EPZA 2024","County SBP. Small economy. Estimated KES 5,000–15,000/yr. Source: County SBP framework","Freehold (citizens) / Leasehold max 99 yrs (foreigners)"
"56","Kenya","KE","Kajiado","No","No gazetted EPZ or SEZ in Kajiado as of 2024. Source: EPZA 2024","NA","N/A. Standard 30% CIT applies. Source: EPZA 2024","County SBP. Near Nairobi corridor; growing. Estimated KES 10,000–35,000/yr. Source: County SBP framework; e-Citizen platform","Freehold (citizens) / Leasehold max 99 yrs (foreigners)"
"57","Kenya","KE","Kakamega","No","No gazetted EPZ or SEZ in Kakamega as of 2024. Source: EPZA 2024","NA","N/A. Standard 30% CIT applies. Source: EPZA 2024","County SBP. Average KES 25,618/yr per Viffa Consult 2024 benchmarking. Source: Viffa Consult benchmarking survey, Business Daily Africa Feb 2024","Freehold (citizens) / Leasehold max 99 yrs (foreigners)"
"58","Kenya","KE","Kericho","No","No gazetted EPZ or SEZ in Kericho as of 2024. Source: EPZA 2024","NA","N/A. Standard 30% CIT applies. Source: EPZA 2024","County SBP. Tea economy. Estimated KES 8,000–25,000/yr. Source: County SBP framework","Freehold (citizens) / Leasehold max 99 yrs (foreigners)"
"59","Kenya","KE","Kiambu","Yes","Tatu City SEZ (Ruiru, Kiambu County) — private SEZ gazetted May 2017 under SEZ Act 2015. Source: Standard Media 2017; SEZ Act 2015","Customs duty and VAT exemption on qualifying inputs. Source: SEZ Act 2015","10% CIT for first 10 yrs; 15% thereafter. Source: SEZ Act 2015","County SBP. Near Nairobi; higher demand. Estimated KES 15,000–40,000/yr. World Bank Subnational Doing Business benchmarked Thika (Kiambu). Source: World Bank Subnational Doing Business Kenya; County SBP framework","Freehold (citizens) / Leasehold max 99 yrs (foreigners)"
"60","Kenya","KE","Kilifi","Yes","Multiple private EPZs in Kilifi County (27 zones per EPZA Annual Report 2022). Source: EPZA Annual Report 2022","Duty and VAT exemption on inputs. Source: EPZ Act CAP 517","10-yr CIT holiday; 25% thereafter. Source: EPZ Act CAP 517","County SBP. Coastal/tourism. Estimated KES 8,000–25,000/yr. Source: County SBP framework","Freehold (citizens) / Leasehold max 99 yrs (foreigners)"
"61","Kenya","KE","Kirinyaga","No","No gazetted EPZ or SEZ in Kirinyaga as of 2024. Source: EPZA 2024","NA","N/A. Standard 30% CIT applies. Source: EPZA 2024","County SBP. Agricultural county. Estimated KES 8,000–20,000/yr. Source: County SBP framework","Freehold (citizens) / Leasehold max 99 yrs (foreigners)"
"62","Kenya","KE","Kisii","No","No gazetted EPZ or SEZ in Kisii as of 2024. Source: EPZA 2024","NA","N/A. Standard 30% CIT applies. Source: EPZA 2024","County SBP. Estimated KES 8,000–25,000/yr. Source: County SBP framework","Freehold (citizens) / Leasehold max 99 yrs (foreigners)"
"63","Kenya","KE","Kisumu","Yes","Kisumu SEZ — gazetted under SEZ Act 2015. Source: Standard Media 2017; EPZA","Customs duty and VAT exemption on qualifying inputs. Source: SEZ Act 2015","10% CIT for first 10 yrs; 15% thereafter. Source: SEZ Act 2015","County SBP. Third largest city. Average KES 45,000/yr per Viffa Consult 2024 benchmarking. Source: Viffa Consult benchmarking survey, Business Daily Africa Feb 2024","Freehold (citizens) / Leasehold max 99 yrs (foreigners)"
"64","Kenya","KE","Kitui","No","No gazetted EPZ or SEZ in Kitui as of 2024. Source: EPZA 2024","NA","N/A. Standard 30% CIT applies. Source: EPZA 2024","County SBP. Rural county. Estimated KES 5,000–18,000/yr. Source: County SBP framework","Freehold (citizens) / Leasehold max 99 yrs (foreigners)"
"65","Kenya","KE","Kwale","Yes","Bonje EPZ (Kwale County) — gazetted February 2023. Source: UNCTAD Investment Policy Monitor Feb 2023; EPZA","Duty and VAT exemption on inputs. Source: EPZ Act CAP 517","10-yr CIT holiday; 25% thereafter. Source: EPZ Act CAP 517","County SBP. Coastal county. Estimated KES 8,000–20,000/yr. Source: County SBP framework","Freehold (citizens) / Leasehold max 99 yrs (foreigners)"
"66","Kenya","KE","Laikipia","No","No gazetted EPZ or SEZ in Laikipia as of 2024. Source: EPZA 2024","NA","N/A. Standard 30% CIT applies. Source: EPZA 2024","County SBP. Ranching/tourism. Estimated KES 8,000–20,000/yr. Source: County SBP framework","Freehold (citizens) / Leasehold max 99 yrs (foreigners)"
"67","Kenya","KE","Lamu","Yes","Lamu SEZ — gazetted under SEZ Act 2015 (Lamu Port). Source: Standard Media 2017; SEZ Act 2015","Duty and VAT exemption on qualifying inputs. Source: SEZ Act 2015","10% CIT for first 10 yrs; 15% thereafter. Source: SEZ Act 2015","County SBP. Small island economy; lower commercial volumes. Estimated KES 5,000–18,000/yr. Source: County SBP framework","Freehold (citizens) / Leasehold max 99 yrs (foreigners)"
"68","Kenya","KE","Machakos","Yes","Athi River EPZ (EPZA flagship, gazetted 1990); Mavoko EPZ (Machakos County, 2023). Source: EPZA; UNCTAD 2023","Perpetual duty and VAT exemption on raw materials, machinery and other business inputs. Source: EPZ Act CAP 517","10-yr CIT holiday; 25% thereafter; 10-yr withholding tax holiday on remittances. Source: EPZ Act CAP 517","County SBP. Nairobi satellite; growing. Estimated KES 10,000–30,000/yr. Source: County SBP framework","Freehold (citizens) / Leasehold max 99 yrs (foreigners)"
"69","Kenya","KE","Makueni","No","No gazetted EPZ or SEZ in Makueni as of 2024. Source: EPZA 2024","NA","N/A. Standard 30% CIT applies. Source: EPZA 2024","County SBP. Rural county. Estimated KES 5,000–18,000/yr. Source: County SBP framework","Freehold (citizens) / Leasehold max 99 yrs (foreigners)"
"70","Kenya","KE","Mandera","No","No gazetted EPZ or SEZ in Mandera as of 2024. Source: EPZA 2024","NA","N/A. Standard 30% CIT applies. Source: EPZA 2024","County SBP. Remote border county; low commercial activity. Estimated KES 3,000–10,000/yr. Source: County SBP framework","Freehold (citizens) / Leasehold max 99 yrs (foreigners)"
"71","Kenya","KE","Marsabit","No","No gazetted EPZ or SEZ in Marsabit as of 2024. Source: EPZA 2024","NA","N/A. Standard 30% CIT applies. Source: EPZA 2024","County SBP. Remote county. Estimated KES 3,000–10,000/yr. Source: County SBP framework","Freehold (citizens) / Leasehold max 99 yrs (foreigners)"
"72","Kenya","KE","Meru","No","No gazetted EPZ or SEZ in Meru as of 2024. Source: EPZA 2024","NA","N/A. Standard 30% CIT applies. Source: EPZA 2024","County SBP. Agricultural hub. Estimated KES 8,000–25,000/yr. Source: County SBP framework","Freehold (citizens) / Leasehold max 99 yrs (foreigners)"
"73","Kenya","KE","Migori","No","No gazetted EPZ or SEZ in Migori as of 2024. Source: EPZA 2024","NA","N/A. Standard 30% CIT applies. Source: EPZA 2024","County SBP. Border county. Estimated KES 5,000–18,000/yr. Source: County SBP framework","Freehold (citizens) / Leasehold max 99 yrs (foreigners)"
