,#,Country,ISO,Name,SEZ Present,SEZ Name,SEZ VAT Treatment,SEZ CIT Rate,Local Licensing Fee,Land Ownership Rules,Statutory CIT (National),Subnational CIT Adjustment,Effective CIT in SEZ,Other Local Taxes,Tax Administration Complexity,Political Stability,Security Risk,Governance Quality,Next Subnational Election,Ruling Party Alignment,US Economic Influence,Chinese Economic Influence,Key Foreign Investors,Strategic Importance,Major Industries,Export Orientation,Infrastructure Quality,Labor Cost Level,Time to Start Business,Permitting Speed,Inspection Intensity,Judicial Efficiency,Regulatory Predictability,Incentive Reliability,Incentive Negotiability,Incentive Transparency,Electricity Cost,Power Reliability,Water Availability,Distance to Port (Time),Port Efficiency,Customs Clearance Time,Rail Connectivity,Labor Availability,Skill Level,Unionization Level,Turnover Rate,Language Capability,Industry Clusters,Supplier Ecosystem Depth,Multinational Presence,University / R&D Access,Industrial Land Cost,Land Availability,Zoning Flexibility,Land Acquisition Risk,Crime Impact on Business,Corruption Level,Cargo Theft Risk,Political Violence Risk,Market Access Proximity,Trade Corridor Access,Border Friction,FTA Utilization,Reform Momentum,Government Priority Status,Industrial Policy Focus,Single Window Effectiveness,Bureaucratic Discretion,Relationship vs Rules Based,Environmental Enforcement,Carbon Policy Exposure,Sustainability Constraints,Community Opposition Risk
11,11,Nigeria,NG,Adamawa State,No,No NEPZA free zone in Adamawa as of 2024. Source: NEPZA 2024,Information unavailable,N/A. Standard 30% CIT. Source: NEPZA 2024,"State Business Premises Levy + LGA levy. Estimated NGN 30,000–150,000/yr. Lower demand economy, lower informal pressure. Source: Business Premises Registration Act; US State Dept 2024",State leasehold only; Land Use Act 1978,0.3,Information unavailable,10–20%,Information unavailable,Very High,Information unavailable,High,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,High,Very Low,Medium,Very High,Information unavailable,Very Slow,Information unavailable,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Very Low,High,Very Low,High,Information unavailable,High,High,High,Low,Low–Medium,Medium,Medium,Low,Low,"Agriculture, informal economy",Very Low,Extreme,Information unavailable,Very Low,Low–Medium,High,High
12,12,Nigeria,NG,Akwa Ibom State,No,No NEPZA free zone in Akwa Ibom as of 2024. OGFZA covers neighbouring Rivers State. Source: NEPZA 2024,Information unavailable,N/A. Standard 30% CIT. Source: NEPZA 2024,"State Business Premises Levy + LGA levy. Oil sector presence inflates regulatory environment. Estimated NGN 50,000–300,000/yr. Source: Business Premises Registration Act; US State Dept 2024",State leasehold only; Land Use Act 1978,0.3,Information unavailable,10–20%,Information unavailable,Very High,Information unavailable,High,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,High,Very Low,Medium,Very High,Information unavailable,Very Slow,Information unavailable,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Very Low,High,Very Low,High,Information unavailable,High,High,High,Low,Low–Medium,Medium,Medium,Low,Low,"Agriculture, informal economy",Very Low,Extreme,Information unavailable,Very Low,Low–Medium,High,High
13,13,Nigeria,NG,Anambra State,No,No NEPZA/OGFZA free zone operational in Anambra as of 2024. Source: NEPZA 2024,Information unavailable,N/A. Standard 30% CIT. Source: NEPZA 2024,"State Business Premises Levy + LGA levy. Active commercial state. Estimated NGN 50,000–250,000/yr. Source: Business Premises Registration Act",State leasehold only; Land Use Act 1978,0.3,Information unavailable,10–20%,Information unavailable,Very High,Information unavailable,High,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,High,Very Low,Medium,Very High,Information unavailable,Very Slow,Information unavailable,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Very Low,High,Very Low,High,Information unavailable,High,High,High,Low,Low–Medium,Medium,Medium,Low,Low,"Agriculture, informal economy",Very Low,Extreme,Information unavailable,Very Low,Low–Medium,High,High
14,14,Nigeria,NG,Bauchi State,No,No NEPZA free zone in Bauchi as of 2024. Source: NEPZA 2024,Information unavailable,N/A. Standard 30% CIT. Source: NEPZA 2024,"State Business Premises Levy + LGA levy. Smaller economy. Estimated NGN 20,000–100,000/yr. Source: Business Premises Registration Act",State leasehold only; Land Use Act 1978,0.3,Information unavailable,10–20%,Information unavailable,Very High,Information unavailable,High,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,High,Very Low,Medium,Very High,Information unavailable,Very Slow,Information unavailable,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Very Low,High,Very Low,High,Information unavailable,High,High,High,Low,Low–Medium,Medium,Medium,Low,Low,"Agriculture, informal economy",Very Low,Extreme,Information unavailable,Very Low,Low–Medium,High,High
15,15,Nigeria,NG,Bayelsa,No,No NEPZA free zone in Bayelsa as of 2024. OGFZA covers neighbouring Rivers State. Source: NEPZA 2024,Information unavailable,N/A. Standard 30% CIT. Source: NEPZA 2024,"State Business Premises Levy + LGA levy. Oil delta; fees can be inflated by informal demands. Estimated NGN 50,000–250,000/yr. Source: Business Premises Registration Act; US State Dept 2024",State leasehold only; Land Use Act 1978,0.3,Information unavailable,10–20%,Information unavailable,Very High,Information unavailable,High,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,High,Very Low,Medium,Very High,Information unavailable,Very Slow,Information unavailable,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Very Low,High,Very Low,High,Information unavailable,High,High,High,Low,Low–Medium,Medium,Medium,Low,Low,"Agriculture, informal economy",Very Low,Extreme,Information unavailable,Very Low,Low–Medium,High,High
16,16,Nigeria,NG,Benue,No,No NEPZA free zone in Benue as of 2024. Source: NEPZA 2024,Information unavailable,N/A. Standard 30% CIT. Source: NEPZA 2024,"State Business Premises Levy + LGA levy. Estimated NGN 20,000–100,000/yr. Source: Business Premises Registration Act",State leasehold only; Land Use Act 1978,0.3,Information unavailable,10–20%,Information unavailable,Very High,Information unavailable,High,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,High,Very Low,Medium,Very High,Information unavailable,Very Slow,Information unavailable,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Very Low,High,Very Low,High,Information unavailable,High,High,High,Low,Low–Medium,Medium,Medium,Low,Low,"Agriculture, informal economy",Very Low,Extreme,Information unavailable,Very Low,Low–Medium,High,High
17,17,Nigeria,NG,Borno,No,No NEPZA free zone in Borno as of 2024. Source: NEPZA 2024,Information unavailable,N/A. Source: NEPZA 2024,"State Business Premises Levy + LGA levy. Conflict-affected north; enforcement irregular. Estimated NGN 20,000–80,000/yr where operating. Source: Business Premises Registration Act",State leasehold only; Land Use Act 1978,0.3,Information unavailable,10–20%,Information unavailable,Very High,Information unavailable,High,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,High,Very Low,Medium,Very High,Information unavailable,Very Slow,Information unavailable,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Very Low,High,Very Low,High,Information unavailable,High,High,High,Low,Low–Medium,Medium,Medium,Low,Low,"Agriculture, informal economy",Very Low,Extreme,Information unavailable,Very Low,Low–Medium,High,High
18,18,Nigeria,NG,Cross River,Yes,"Calabar Free Trade Zone (NEPZA-regulated, est. 2001); Tinapa Free Trade Zone (Calabar). Source: NEPZA; AFZA 2024",VAT exempt on goods/services within zone and between free zones. Source: NEPZA Act 63/1992; Finance Act 2019,"0% — complete tax holiday from all federal, state and local taxes, levies and rates. Source: NEPZA Act 63/1992 s.18; AFZA 2024","State Business Premises Levy + LGA levy. Calabar Free Trade Zone may affect framework. Estimated NGN 40,000–200,000/yr. Source: Business Premises Registration Act",State leasehold only; Land Use Act 1978,0.3,Information unavailable,10–20%,Information unavailable,Very High,Information unavailable,High,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,High,Very Low,Medium,Very High,Information unavailable,Very Slow,Information unavailable,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Very Low,High,Very Low,High,Information unavailable,High,High,High,Low,Low,Medium,Medium,Low,Low,Agriculture,Very Low,Extreme,Information unavailable,Very Low,Low–Medium,High,High
19,19,Nigeria,NG,Delta,No,No NEPZA free zone in Delta as of 2024. Oil/gas falls under OGFZA (Rivers State). Source: NEPZA 2024,Information unavailable,N/A. Standard 30% CIT. Source: NEPZA 2024,"State Business Premises Levy + LGA levy. Oil state; Warri commercial hub. Estimated NGN 50,000–300,000/yr. Source: Business Premises Registration Act; US State Dept 2024",State leasehold only; Land Use Act 1978,0.3,Information unavailable,10–20%,Information unavailable,Very High,Information unavailable,High,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,High,Very Low,Medium,Very High,Information unavailable,Very Slow,Information unavailable,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Very Low,High,Very Low,High,Information unavailable,High,High,High,Low,Low,Medium,Medium,Low,Low,Agriculture,Very Low,Extreme,Information unavailable,Very Low,Low–Medium,High,High
20,20,Nigeria,NG,Ebonyi,No,No NEPZA free zone in Ebonyi as of 2024. Source: NEPZA 2024,Information unavailable,N/A. Standard 30% CIT. Source: NEPZA 2024,"State Business Premises Levy + LGA levy. Smaller economy. Estimated NGN 20,000–100,000/yr. Source: Business Premises Registration Act",State leasehold only; Land Use Act 1978,0.3,Information unavailable,10–20%,Information unavailable,Very High,Information unavailable,High,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,High,Very Low,Medium,Very High,Information unavailable,Very Slow,Information unavailable,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Very Low,High,Very Low,High,Information unavailable,High,High,High,Low,Low,Medium,Medium,Low,Low,Agriculture,Very Low,Extreme,Information unavailable,Very Low,Low–Medium,High,High
21,21,Nigeria,NG,Edo,No,No NEPZA free zone operational in Edo as of 2024. Source: NEPZA 2024,Information unavailable,N/A. Standard 30% CIT. Source: NEPZA 2024,"State Business Premises Levy + LGA levy. Benin City commercial. Estimated NGN 50,000–200,000/yr. Source: Business Premises Registration Act",State leasehold only; Land Use Act 1978,0.3,Information unavailable,10–20%,Information unavailable,Very High,Information unavailable,High,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,High,Very Low,Medium,Very High,Information unavailable,Very Slow,Information unavailable,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Very Low,High,Very Low,High,Information unavailable,High,High,High,Low,Low,Medium,Medium,Low,Low,Agriculture,Very Low,Extreme,Information unavailable,Very Low,Low–Medium,High,High
22,22,Nigeria,NG,Ekiti,No,No NEPZA free zone in Ekiti as of 2024. Source: NEPZA 2024,Information unavailable,N/A. Standard 30% CIT. Source: NEPZA 2024,"State Business Premises Levy + LGA levy. Smaller economy. Estimated NGN 20,000–100,000/yr. Source: Business Premises Registration Act",State leasehold only; Land Use Act 1978,0.3,Information unavailable,10–20%,Information unavailable,Very High,Information unavailable,High,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,High,Very Low,Medium,Very High,Information unavailable,Very Slow,Information unavailable,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Very Low,High,Very Low,High,Information unavailable,High,High,High,Low,Low,Medium,Medium,Low,Low,Agriculture,Very Low,Extreme,Information unavailable,Very Low,Low–Medium,High,High
23,23,Nigeria,NG,Enugu,No,No NEPZA free zone in Enugu as of 2024. Source: NEPZA 2024,Information unavailable,N/A. Standard 30% CIT. Source: NEPZA 2024,"State Business Premises Levy + LGA levy. Southeast commercial hub. Estimated NGN 50,000–200,000/yr. Source: Business Premises Registration Act",State leasehold only; Land Use Act 1978,0.3,Information unavailable,10–20%,Information unavailable,High,Information unavailable,Medium–High,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Medium–Low,Information unavailable,Information unavailable,Information unavailable,High,Low,Medium,Medium–High,Information unavailable,Slow,Low,High,Medium,Information unavailable,High,High (English),Medium–High,Medium,Medium,Information unavailable,Medium,Medium,Medium,Medium,Information unavailable,Medium,Medium,Medium–High,Medium,Medium,Medium,Medium,Medium,Medium,"Trade, SMEs",Low–Medium,High,Information unavailable,Low,Low–Medium,Medium,Medium
24,24,Nigeria,NG,Federal Capital Territory,Yes,Abuja Technology Village Free Zone (FCT) — NEPZA-licensed; technology/ICT focus. Source: NEPZA 2024,VAT exempt within zone. Source: NEPZA Act 63/1992,"0% tax holiday on all federal, state and local taxes. Source: NEPZA Act 63/1992","FCT-FCDA licensing framework. Abuja rates among highest in Nigeria; reflect capital city economy. Estimated NGN 100,000–500,000/yr for mid-size enterprise. Source: FCT-IRS; Business Premises Registration Act",FCT vested in federal government. FCDA/FCT Minister (not state Governor) grants right of occupancy. Source: FCT Act; Land Use Act 1978 s.55,0.3,Information unavailable,10–20%,Information unavailable,Very High,Information unavailable,High,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Low,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Information unavailable,Very Low,Information unavailable,Information unavailable,Information unavailable,High,Very Low,Medium,Very High,Information unavailable,Very Slow,Information unavailable,High,Low,Information unavailable,Medium,High (English),Low,Very Low,Low,Information unavailable,Very Low,High,Very Low,High,Information unavailable,High,High,High,Low,Low,Medium,Medium,Low,Low,Agriculture,Very Low,Extreme,Information unavailable,Very Low,Low–Medium,High,High
